City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,24.91,72,0,3.13,MX,1682013600
1,arraial do cabo,-22.9661,-42.0278,25.92,65,0,8.16,BR,1682013600
2,papatowai,-46.5619,169.4708,11.77,85,100,1.45,NZ,1682013600
3,roma,43.2128,-75.4557,13.53,49,0,1.65,US,1682013600
4,nova sintra,14.8667,-24.7167,19.53,79,75,11.02,CV,1682013600
5,port-aux-francais,-49.35,70.2167,6.37,72,100,13.36,TF,1682013600
6,paciran,-6.8767,112.3761,26.12,86,100,2.02,ID,1682013600
7,hadibu,12.65,54.0333,28.51,70,38,2.64,YE,1682013600
8,blackmans bay,-43.0167,147.3167,14.06,79,100,3.15,AU,1682013600
9,grytviken,-54.2811,-36.5092,1.84,99,100,1.65,GS,1682013600
10,puerto ayora,-0.7393,-90.3518,28.08,87,89,3.42,EC,1682013600
11,kodiak,57.79,-152.4072,3.73,60,0,3.08,US,1682013600
12,porto murtinho,-21.6989,-57.8825,26.48,40,0,3.01,BR,1682013600
13,port elizabeth,-33.918,25.5701,16.84,80,20,14.21,ZA,1682013600
14,rapar,23.5667,70.6333,27.6,54,49,6.64,IN,1682013600
15,egilsstadir,65.2653,-14.3948,14.95,33,0,2.72,IS,1682013600
16,invercargill,-46.4,168.35,11.68,82,95,2.07,NZ,1682013600
17,adamstown,-25.066,-130.1015,24.08,78,100,3.07,PN,1682013600
18,iskateley,67.6803,53.1512,-3.59,95,98,3.49,RU,1682013600
19,aykhal,66.0,111.5,-16.25,100,64,1.04,RU,1682013600
20,zalesovo,53.9939,84.7431,-5.4,94,84,1.97,RU,1682013600
21,dudinka,69.4058,86.1778,-11.9,98,98,3.41,RU,1682013600
22,mount isa,-20.7333,139.5,20.56,45,0,8.2,AU,1682013600
23,manay,7.215,126.5397,25.81,83,75,1.53,PH,1682013600
24,waitangi,-43.9535,-176.5597,16.01,95,89,8.94,NZ,1682013600
25,codrington,-38.2667,141.9667,13.19,93,98,2.99,AU,1682013600
26,zhezqazghan,47.7833,67.7667,9.06,46,74,4.8,KZ,1682013600
27,edinburgh of the seven seas,-37.0676,-12.3116,19.26,97,100,8.01,SH,1682013600
28,kaspiyskiy,45.3929,47.3707,13.43,63,99,8.94,RU,1682013600
29,cole harbour,44.6724,-63.4751,11.11,55,75,4.52,CA,1682013600
30,monte patria,-30.6919,-70.9467,26.29,21,72,3.7,CL,1682013600
31,chonchi,-42.6128,-73.8092,16.2,68,100,0.56,CL,1682013600
32,puerto natales,-51.7236,-72.4875,11.25,76,75,1.91,CL,1682013600
33,whitehorse,60.7161,-135.0538,1.09,86,75,2.19,CA,1682013600
34,herzberg,51.6869,13.2202,13.99,67,75,4.0,DE,1682013600
35,bethel,41.3712,-73.414,15.98,43,0,2.71,US,1682013600
36,port lincoln,-34.7333,135.8667,15.5,80,61,1.81,AU,1682013600
37,lisala,2.15,21.5167,22.89,97,97,2.19,CD,1682013600
38,atafu village,-8.5421,-172.5159,27.77,76,86,1.78,TK,1682013600
39,la ronge,55.1001,-105.2842,-0.54,55,75,5.33,CA,1682013600
40,arroyo,41.6096,-4.7969,22.84,26,0,4.25,ES,1682013600
41,mezhdurechenskiy,59.6,65.9333,5.08,72,75,3.96,RU,1682013600
42,nemuro,43.3236,145.575,6.47,89,89,8.77,JP,1682013600
43,margaret river,-33.95,115.0667,13.97,56,17,2.71,AU,1682013600
44,yellowknife,62.456,-114.3525,1.35,55,0,3.85,CA,1682013600
45,avarua,-21.2078,-159.775,25.53,78,100,8.59,CK,1682013600
46,zmeinogorsk,51.1567,82.195,-9.61,89,4,2.14,RU,1682013600
47,arbroath,56.5632,-2.5874,10.88,76,1,5.2,GB,1682013600
48,cascais,38.6979,-9.4215,18.13,68,20,3.59,PT,1682013600
49,al mishkhab,31.8042,44.4911,31.06,18,100,3.48,IQ,1682013600
50,ribeira grande,38.5167,-28.7,15.22,72,40,10.84,PT,1682013600
51,albany,42.6001,-73.9662,15.29,46,21,2.6,US,1682013600
